Spread,Total_Games,All_Cover_Pct,Away_Cover_Pct,Home_Cover_Pct
20.0,415,50.6,50.0,59.1
19.5,468,52.1,52.2,57.1
19.0,463,49.2,50.9,46.4
18.5,564,47.2,47.0,51.9
18.0,593,49.6,52.0,50.0
17.5,723,50.9,50.7,50.0
17.0,688,50.4,52.2,58.7
16.5,835,52.9,53.5,50.0
16.0,801,52.2,54.1,64.4
15.5,969,52.1,52.7,51.8
15.0,1001,48.0,49.1,53.8
14.5,1237,50.4,50.7,52.4
14.0,1263,50.2,53.4,46.6
13.5,1464,51.1,50.8,50.0
13.0,1493,48.0,49.6,46.9
12.5,1719,51.8,52.4,51.5
12.0,1599,51.0,54.9,46.8
11.5,1801,52.2,53.4,49.8
11.0,1791,49.0,51.9,50.0
10.5,2103,49.3,49.9,49.4
10.0,2198,48.6,50.5,49.4
9.5,2484,50.4,50.5,50.1
9.0,2501,48.5,50.3,53.3
8.5,2892,48.4,48.9,46.2
8.0,2887,48.5,52.2,49.2
7.5,3462,49.5,49.3,49.3
7.0,3247,47.9,50.9,48.1
6.5,3857,49.8,50.6,46.7
6.0,3510,47.4,48.9,49.1
5.5,4157,49.1,50.1,48.3
5.0,3755,47.2,48.9,49.0
4.5,4460,49.7,49.9,50.5
4.0,4228,48.8,50.6,51.1
3.5,4751,50.3,50.7,50.3
3.0,4520,46.5,49.6,49.1
2.5,5098,49.7,50.0,49.5
2.0,4714,46.8,48.5,48.9
1.5,4412,50.1,48.7,49.9
1.0,4078,48.4,50.8,50.0
0.0,2007,50.0,49.2,50.8
-1.0,4072,48.4,50.0,49.3
-1.5,4412,49.9,50.2,51.3
-2.0,4716,49.5,51.3,51.4
-2.5,5101,50.3,50.3,50.2
-3.0,4522,48.9,50.8,50.3
-3.5,4746,49.7,49.8,49.2
-4.0,4235,46.9,49.0,49.3
-4.5,4456,50.5,49.4,50.4
-5.0,3750,48.6,51.5,50.9
-5.5,4164,50.9,51.5,50.0
-6.0,3502,48.5,50.8,50.9
-6.5,3861,50.5,53.7,49.7
-7.0,3247,47.4,51.7,49.0
-7.5,3468,50.7,50.7,50.9
-8.0,2885,47.3,50.7,47.4
-8.5,2893,51.6,53.8,51.1
-9.0,2499,47.7,46.8,49.9
-9.5,2486,49.6,49.9,49.6
-10.0,2193,47.4,50.6,49.1
-10.5,2108,50.6,50.6,50.1
-11.0,1789,47.8,50.2,48.2
-11.5,1803,47.7,50.0,46.6
-12.0,1600,44.3,52.9,45.1
-12.5,1716,48.1,48.5,47.4
-13.0,1491,48.2,52.5,50.5
-13.5,1465,49.0,50.0,49.4
-14.0,1259,45.5,54.2,46.4
-14.5,1239,49.6,47.6,49.4
-15.0,1003,47.9,46.3,50.8
-15.5,968,47.9,47.6,47.4
-16.0,800,44.0,35.6,45.9
-16.5,837,47.1,50.0,46.5
-17.0,686,44.5,41.3,47.6
-17.5,725,49.1,50.0,49.3
-18.0,591,46.0,50.0,48.3
-18.5,566,52.5,48.2,52.8
-19.0,462,47.6,53.6,49.4
-19.5,468,47.9,42.9,47.8
-20.0,415,46.5,40.9,49.7
