TeamID,TeamName
s:40~l:41~t:2000,Abilene Christian Wildcats
s:40~l:41~t:2005,Air Force Falcons
s:40~l:41~t:2006,Akron Zips
s:40~l:41~t:2010,Alabama A&M Bulldogs
s:40~l:41~t:333,Alabama Crimson Tide
s:40~l:41~t:2011,Alabama State Hornets
s:40~l:41~t:2016,Alcorn State Braves
s:40~l:41~t:44,American University Eagles
s:40~l:41~t:2026,App State Mountaineers
s:40~l:41~t:9,Arizona State Sun Devils
s:40~l:41~t:12,Arizona Wildcats
s:40~l:41~t:8,Arkansas Razorbacks
s:40~l:41~t:2032,Arkansas State Red Wolves
s:40~l:41~t:2029,Arkansas-Pine Bluff Golden Lions
s:40~l:41~t:349,Army Black Knights
s:40~l:41~t:2,Auburn Tigers
s:40~l:41~t:2046,Austin Peay Governors
s:40~l:41~t:252,BYU Cougars
s:40~l:41~t:2050,Ball State Cardinals
s:40~l:41~t:239,Baylor Bears
s:40~l:41~t:91,Bellarmine Knights
s:40~l:41~t:2057,Belmont Bruins
s:40~l:41~t:2065,Bethune-Cookman Wildcats
s:40~l:41~t:2066,Binghamton Bearcats
s:40~l:41~t:68,Boise State Broncos
s:40~l:41~t:103,Boston College Eagles
s:40~l:41~t:104,Boston University Terriers
s:40~l:41~t:189,Bowling Green Falcons
s:40~l:41~t:71,Bradley Braves
s:40~l:41~t:225,Brown Bears
s:40~l:41~t:2803,Bryant Bulldogs
s:40~l:41~t:2083,Bucknell Bison
s:40~l:41~t:2084,Buffalo Bulls
s:40~l:41~t:2086,Butler Bulldogs
s:40~l:41~t:13,Cal Poly Mustangs
s:40~l:41~t:2934,Cal State Bakersfield Roadrunners
s:40~l:41~t:2239,Cal State Fullerton Titans
s:40~l:41~t:2463,Cal State Northridge Matadors
s:40~l:41~t:2856,California Baptist Lancers
s:40~l:41~t:25,California Golden Bears
s:40~l:41~t:2097,Campbell Fighting Camels
s:40~l:41~t:2099,Canisius Golden Griffins
s:40~l:41~t:2110,Central Arkansas Bears
s:40~l:41~t:2115,Central Connecticut Blue Devils
s:40~l:41~t:2117,Central Michigan Chippewas
s:40~l:41~t:232,Charleston Cougars
s:40~l:41~t:2127,Charleston Southern Buccaneers
s:40~l:41~t:2429,Charlotte 49ers
s:40~l:41~t:236,Chattanooga Mocs
s:40~l:41~t:2130,Chicago State Cougars
s:40~l:41~t:2132,Cincinnati Bearcats
s:40~l:41~t:228,Clemson Tigers
s:40~l:41~t:325,Cleveland State Vikings
s:40~l:41~t:324,Coastal Carolina Chanticleers
s:40~l:41~t:2142,Colgate Raiders
s:40~l:41~t:38,Colorado Buffaloes
s:40~l:41~t:36,Colorado State Rams
s:40~l:41~t:171,Columbia Lions
s:40~l:41~t:2154,Coppin State Eagles
s:40~l:41~t:172,Cornell Big Red
s:40~l:41~t:156,Creighton Bluejays
s:40~l:41~t:159,Dartmouth Big Green
s:40~l:41~t:2166,Davidson Wildcats
s:40~l:41~t:2168,Dayton Flyers
s:40~l:41~t:305,DePaul Blue Demons
s:40~l:41~t:48,Delaware Blue Hens
s:40~l:41~t:2169,Delaware State Hornets
s:40~l:41~t:2172,Denver Pioneers
s:40~l:41~t:2174,Detroit Mercy Titans
s:40~l:41~t:2181,Drake Bulldogs
s:40~l:41~t:2182,Drexel Dragons
s:40~l:41~t:150,Duke Blue Devils
s:40~l:41~t:2184,Duquesne Dukes
s:40~l:41~t:151,East Carolina Pirates
s:40~l:41~t:2193,East Tennessee State Buccaneers
s:40~l:41~t:2837,East Texas A&M Lions
s:40~l:41~t:2197,Eastern Illinois Panthers
s:40~l:41~t:2198,Eastern Kentucky Colonels
s:40~l:41~t:2199,Eastern Michigan Eagles
s:40~l:41~t:331,Eastern Washington Eagles
s:40~l:41~t:2210,Elon Phoenix
s:40~l:41~t:339,Evansville Purple Aces
s:40~l:41~t:2217,Fairfield Stags
s:40~l:41~t:161,Fairleigh Dickinson Knights
s:40~l:41~t:50,Florida A&M Rattlers
s:40~l:41~t:2226,Florida Atlantic Owls
s:40~l:41~t:57,Florida Gators
s:40~l:41~t:526,Florida Gulf Coast Eagles
s:40~l:41~t:2229,Florida International Panthers
s:40~l:41~t:52,Florida State Seminoles
s:40~l:41~t:2230,Fordham Rams
s:40~l:41~t:278,Fresno State Bulldogs
s:40~l:41~t:231,Furman Paladins
s:40~l:41~t:2241,Gardner-Webb Runnin' Bulldogs
s:40~l:41~t:2244,George Mason Patriots
s:40~l:41~t:45,George Washington Revolutionaries
s:40~l:41~t:46,Georgetown Hoyas
s:40~l:41~t:61,Georgia Bulldogs
s:40~l:41~t:290,Georgia Southern Eagles
s:40~l:41~t:2247,Georgia State Panthers
s:40~l:41~t:59,Georgia Tech Yellow Jackets
s:40~l:41~t:2250,Gonzaga Bulldogs
s:40~l:41~t:2755,Grambling Tigers
s:40~l:41~t:2253,Grand Canyon Lopes
s:40~l:41~t:2739,Green Bay Phoenix
s:40~l:41~t:2261,Hampton Pirates
s:40~l:41~t:108,Harvard Crimson
s:40~l:41~t:62,Hawai'i Rainbow Warriors
s:40~l:41~t:2272,High Point Panthers
s:40~l:41~t:2275,Hofstra Pride
s:40~l:41~t:107,Holy Cross Crusaders
s:40~l:41~t:2277,Houston Christian Huskies
s:40~l:41~t:248,Houston Cougars
s:40~l:41~t:47,Howard Bison
s:40~l:41~t:85,IU Indianapolis Jaguars
s:40~l:41~t:304,Idaho State Bengals
s:40~l:41~t:70,Idaho Vandals
s:40~l:41~t:356,Illinois Fighting Illini
s:40~l:41~t:2287,Illinois State Redbirds
s:40~l:41~t:2916,Incarnate Word Cardinals
s:40~l:41~t:84,Indiana Hoosiers
s:40~l:41~t:282,Indiana State Sycamores
s:40~l:41~t:314,Iona Gaels
s:40~l:41~t:2294,Iowa Hawkeyes
s:40~l:41~t:66,Iowa State Cyclones
s:40~l:41~t:2296,Jackson State Tigers
s:40~l:41~t:294,Jacksonville Dolphins
s:40~l:41~t:55,Jacksonville State Gamecocks
s:40~l:41~t:256,James Madison Dukes
s:40~l:41~t:140,Kansas City Roos
s:40~l:41~t:2305,Kansas Jayhawks
s:40~l:41~t:2306,Kansas State Wildcats
s:40~l:41~t:338,Kennesaw State Owls
s:40~l:41~t:2309,Kent State Golden Flashes
s:40~l:41~t:96,Kentucky Wildcats
s:40~l:41~t:99,LSU Tigers
s:40~l:41~t:2325,La Salle Explorers
s:40~l:41~t:322,Lafayette Leopards
s:40~l:41~t:2320,Lamar Cardinals
s:40~l:41~t:2330,Le Moyne Dolphins
s:40~l:41~t:2329,Lehigh Mountain Hawks
s:40~l:41~t:2335,Liberty Flames
s:40~l:41~t:288,Lipscomb Bisons
s:40~l:41~t:2031,Little Rock Trojans
s:40~l:41~t:299,Long Beach State Beach
s:40~l:41~t:112358,Long Island University Sharks
s:40~l:41~t:2344,Longwood Lancers
s:40~l:41~t:309,Louisiana Ragin' Cajuns
s:40~l:41~t:2348,Louisiana Tech Bulldogs
s:40~l:41~t:97,Louisville Cardinals
s:40~l:41~t:2350,Loyola Chicago Ramblers
s:40~l:41~t:2352,Loyola Maryland Greyhounds
s:40~l:41~t:2351,Loyola Marymount Lions
s:40~l:41~t:311,Maine Black Bears
s:40~l:41~t:2363,Manhattan Jaspers
s:40~l:41~t:2368,Marist Red Foxes
s:40~l:41~t:269,Marquette Golden Eagles
s:40~l:41~t:276,Marshall Thundering Herd
s:40~l:41~t:2379,Maryland Eastern Shore Hawks
s:40~l:41~t:120,Maryland Terrapins
s:40~l:41~t:113,Massachusetts Minutemen
s:40~l:41~t:2377,McNeese Cowboys
s:40~l:41~t:235,Memphis Tigers
s:40~l:41~t:2382,Mercer Bears
s:40~l:41~t:2385,Mercyhurst Lakers
s:40~l:41~t:2771,Merrimack Warriors
s:40~l:41~t:193,Miami (OH) RedHawks
s:40~l:41~t:2390,Miami Hurricanes
s:40~l:41~t:127,Michigan State Spartans
s:40~l:41~t:130,Michigan Wolverines
s:40~l:41~t:2393,Middle Tennessee Blue Raiders
s:40~l:41~t:270,Milwaukee Panthers
s:40~l:41~t:135,Minnesota Golden Gophers
s:40~l:41~t:344,Mississippi State Bulldogs
s:40~l:41~t:2400,Mississippi Valley State Delta Devils
s:40~l:41~t:2623,Missouri State Bears
s:40~l:41~t:142,Missouri Tigers
s:40~l:41~t:2405,Monmouth Hawks
s:40~l:41~t:149,Montana Grizzlies
s:40~l:41~t:147,Montana State Bobcats
s:40~l:41~t:2413,Morehead State Eagles
s:40~l:41~t:2415,Morgan State Bears
s:40~l:41~t:116,Mount St. Mary's Mountaineers
s:40~l:41~t:93,Murray State Racers
s:40~l:41~t:152,NC State Wolfpack
s:40~l:41~t:2885,NJIT Highlanders
s:40~l:41~t:2426,Navy Midshipmen
s:40~l:41~t:158,Nebraska Cornhuskers
s:40~l:41~t:2440,Nevada Wolf Pack
s:40~l:41~t:160,New Hampshire Wildcats
s:40~l:41~t:2441,New Haven Chargers
s:40~l:41~t:167,New Mexico Lobos
s:40~l:41~t:166,New Mexico State Aggies
s:40~l:41~t:2443,New Orleans Privateers
s:40~l:41~t:315,Niagara Purple Eagles
s:40~l:41~t:2447,Nicholls Colonels
s:40~l:41~t:2450,Norfolk State Spartans
s:40~l:41~t:2453,North Alabama Lions
s:40~l:41~t:2448,North Carolina A&T Aggies
s:40~l:41~t:2428,North Carolina Central Eagles
s:40~l:41~t:153,North Carolina Tar Heels
s:40~l:41~t:155,North Dakota Fighting Hawks
s:40~l:41~t:2449,North Dakota State Bison
s:40~l:41~t:2454,North Florida Ospreys
s:40~l:41~t:249,North Texas Mean Green
s:40~l:41~t:111,Northeastern Huskies
s:40~l:41~t:2464,Northern Arizona Lumberjacks
s:40~l:41~t:2458,Northern Colorado Bears
s:40~l:41~t:2459,Northern Illinois Huskies
s:40~l:41~t:2460,Northern Iowa Panthers
s:40~l:41~t:94,Northern Kentucky Norse
s:40~l:41~t:2466,Northwestern State Demons
s:40~l:41~t:77,Northwestern Wildcats
s:40~l:41~t:87,Notre Dame Fighting Irish
s:40~l:41~t:2473,Oakland Golden Grizzlies
s:40~l:41~t:195,Ohio Bobcats
s:40~l:41~t:194,Ohio State Buckeyes
s:40~l:41~t:201,Oklahoma Sooners
s:40~l:41~t:197,Oklahoma State Cowboys
s:40~l:41~t:295,Old Dominion Monarchs
s:40~l:41~t:145,Ole Miss Rebels
s:40~l:41~t:2437,Omaha Mavericks
s:40~l:41~t:198,Oral Roberts Golden Eagles
s:40~l:41~t:2483,Oregon Ducks
s:40~l:41~t:204,Oregon State Beavers
s:40~l:41~t:279,Pacific Tigers
s:40~l:41~t:213,Penn State Nittany Lions
s:40~l:41~t:219,Pennsylvania Quakers
s:40~l:41~t:2492,Pepperdine Waves
s:40~l:41~t:221,Pittsburgh Panthers
s:40~l:41~t:2501,Portland Pilots
s:40~l:41~t:2502,Portland State Vikings
s:40~l:41~t:2504,Prairie View A&M Panthers
s:40~l:41~t:2506,Presbyterian Blue Hose
s:40~l:41~t:163,Princeton Tigers
s:40~l:41~t:2507,Providence Friars
s:40~l:41~t:2509,Purdue Boilermakers
s:40~l:41~t:2870,Purdue Fort Wayne Mastodons
s:40~l:41~t:2514,Quinnipiac Bobcats
s:40~l:41~t:2515,Radford Highlanders
s:40~l:41~t:227,Rhode Island Rams
s:40~l:41~t:242,Rice Owls
s:40~l:41~t:257,Richmond Spiders
s:40~l:41~t:2520,Rider Broncs
s:40~l:41~t:2523,Robert Morris Colonials
s:40~l:41~t:164,Rutgers Scarlet Knights
s:40~l:41~t:2545,SE Louisiana Lions
s:40~l:41~t:2565,SIU Edwardsville Cougars
s:40~l:41~t:2567,SMU Mustangs
s:40~l:41~t:16,Sacramento State Hornets
s:40~l:41~t:2529,Sacred Heart Pioneers
s:40~l:41~t:2598,Saint Francis Red Flash
s:40~l:41~t:2603,Saint Joseph's Hawks
